dataset_name,priority,role,geography,time_coverage,access_type,status,url,notes
NFHS-4 Individual (women),core,primary outcomes and controls,individual with district/state identifiers,2015-16,official free request,ready to request,https://www.iipsdata.ac.in/datacatalog_detail/1,Use with NFHS-5 as pre period women file
NFHS-5 Individual (women),core,primary outcomes and controls,individual with district/state identifiers,2019-21,official free request,ready to request,https://www.iipsdata.ac.in/datacatalog_detail/1,Main post period women file
NFHS-4 Household,supporting,household controls,household,2015-16,official free request,ready to request,https://www.iipsdata.ac.in/datacatalog_detail/1,Optional merge for household-level robustness
NFHS-5 Household,supporting,household controls,household,2019-21,official free request,ready to request,https://www.iipsdata.ac.in/datacatalog_detail/1,Optional merge for household-level robustness
IIPS Download Data page,supporting,district-level exploratory benchmarks,district,2015-16 and 2019-21,direct download,available,https://iipsindia.ac.in/content/download-data,Contains model-based district estimates for bank account use and women's work
PMMVY documents page,core,treatment timing and implementation evidence,national and state,2017 onward,direct download,available,https://www.spniwcd.wcd.gov.in/pradhan-mantri-matru-vandana-yojna/documents,Use implementation guidelines and sanction documents first
PMMVY brief page,supporting,scheme definition and eligibility,national,current page with historical scheme notes,direct access,available,https://www.spniwcd.wcd.gov.in/pradhan-mantri-matru-vandana-yojna,Confirms PMMVY is a DBT maternity benefit targeted to women
DBT Bharat homepage,core,validation of DBT ecosystem and state reporting,national and state,ongoing,direct access,available,https://dbtbharat.gov.in/,Use for aggregate DBT reporting and state-reported scheme context
DBT Bharat scheme-wise beneficiaries PDF,supporting,scheme-level beneficiary validation,national,FY 2020-21,pdf,available,https://dbtbharat.gov.in/data/documents/Schemes%20wise%20Beneficiaries%20reported%20on%20DBT%20Bharat%202020-21%20as%20on%2015.09.2020.pdf,Includes PMMVY beneficiary counts reported on DBT Bharat
RBI Basic Statistical Returns / DBIE,core,baseline bank branch density,district,pre-2017 and annual,queryable official database,needs extraction,https://www.rbi.org.in/commonman/English/scripts/commpan3.aspx,RBI states BSR has district-wise information available to the public and downloadable from DBIE
MKSY district statistics page,auxiliary,UP case-study dashboard,district,current cumulative dashboard,public dashboard,available but risky for historical analysis,https://mksy.up.gov.in/women_welfare/dist_stats.php,Useful for a UP extension but not as a clean 2019-21 historical panel by itself
MKSY raw district JSON,auxiliary,UP district counts,district,current cumulative dashboard snapshot,public json,available but undocumented,https://mksy.up.gov.in/women_welfare/map/mapDataJson.json,kpi4 is publicly labeled on the page but several KPI fields are not documented
SHRUG codebook,auxiliary,location harmonization and additional India spatial data,multi-level,1990 onward,public pdf,available,https://shrug-assets.s3.amazonaws.com/static/main/assets/other/shrug-codebook.pdf,Useful for linking and geographic consistency; do not assume it solves bank-branch measurement without checking the actual data release
PhonePe Pulse,auxiliary,digital-payment ecosystem validation,state and district quarter,Q1 2018 onward,public GitHub JSON,available,https://github.com/PhonePe/pulse,Platform-specific aggregate transactions users and merchants; no public district-level gender field and not the full UPI market
